company,url,enabled
RBC,https://rbc.wd3.myworkdayjobs.com/RBCGLOBAL1,true
TD,https://td.wd3.myworkdayjobs.com/TD_Bank_Careers,true
Manulife,https://manulife.wd3.myworkdayjobs.com/MFCJH_Jobs,true
CIBC,https://cibc.wd3.myworkdayjobs.com/campus,true
BMO,https://bmo.wd3.myworkdayjobs.com/Privileged,true
Sun Life,https://sunlife.wd3.myworkdayjobs.com/Campus,true
BDO,https://bdo.wd3.myworkdayjobs.com/BDO,true
Canadian Tire,https://canadiantirecorporation.wd3.myworkdayjobs.com/Enterprise_External_Careers_Site,true
Best Buy Canada,https://bestbuycanada.wd3.myworkdayjobs.com/BestBuyCA_Career,true
CAE,https://cae.wd3.myworkdayjobs.com/career,true
Irving Oil,https://irvingoil.wd3.myworkdayjobs.com/IOL_Careers_CoopStudent,true
Lumentum,https://lumentum.wd5.myworkdayjobs.com/LITE,true
Ciena,https://ciena.wd5.myworkdayjobs.com/Careers,true
General Motors,https://generalmotors.wd5.myworkdayjobs.com/careers_gm,true
Visa,https://visa.wd5.myworkdayjobs.com/Visa_Early_Careers,true
Johnson Electric,https://johnsonelectric.wd3.myworkdayjobs.com/Career_JE,true
Intact,https://intactfc.wd3.myworkdayjobs.com/intactfc,true
Workday,https://workday.wd5.myworkdayjobs.com/Workday,true
Workday Early Careers,https://workday.wd5.myworkdayjobs.com/Workday_Early_Career,true
NVIDIA,https://nvidia.wd5.myworkdayjobs.com/NVIDIAExternalCareerSite,true
HP,https://hp.wd5.myworkdayjobs.com/ExternalCareerSite,true
Motorola Solutions,https://motorolasolutions.wd5.myworkdayjobs.com/Careers,true
Yahoo,https://ouryahoo.wd5.myworkdayjobs.com/careers,true
AVEVA,https://aveva.wd3.myworkdayjobs.com/AVEVA_careers,true
CSA Group,https://csagroup.wd3.myworkdayjobs.com/csagroup,true
IKO,https://iko.wd3.myworkdayjobs.com/IKO_Careers,true
Biogen,https://biibhr.wd3.myworkdayjobs.com/external,true
Shell,https://shell.wd3.myworkdayjobs.com/shellcareers,true
NAV Canada,https://navcanada.wd10.myworkdayjobs.com/NAV_Careers,true
NVIDIA,https://nvidia.wd5.myworkdayjobs.com/NVIDIAExternalCareerSite,true
HP,https://hp.wd5.myworkdayjobs.com/ExternalCareerSite,true
Motorola Solutions,https://motorolasolutions.wd5.myworkdayjobs.com/Careers,true
Yahoo,https://ouryahoo.wd5.myworkdayjobs.com/careers,true
HOOPP,https://hoopp.wd10.myworkdayjobs.com/HOOPPStudent,true
QuadReal,https://quadreal.wd10.myworkdayjobs.com/QuadReal,true
AIMCo,https://aimco.wd10.myworkdayjobs.com/AIMCoCareers,true
407 ETR,https://407etr.wd3.myworkdayjobs.com/407_ETR_Careers,true
UNHCR,https://unhcr.wd3.myworkdayjobs.com/External,true
Disney,https://disney.wd5.myworkdayjobs.com/disneycareer,true
Alcon,https://alcon.wd5.myworkdayjobs.com/careers_alcon,true
Johnson Controls,https://jci.wd5.myworkdayjobs.com/jci,true
Morgan Stanley,https://ms.wd5.myworkdayjobs.com/External,true
HPE,https://hpe.wd5.myworkdayjobs.com/Jobsathpe,true
McGill University,https://mcgill.wd3.myworkdayjobs.com/mcgill_careers,true
UBC,https://ubc.wd10.myworkdayjobs.com/ubcstaffjobs,true
NRF,https://nrf.wd3.myworkdayjobs.com/External,true
Razer,https://razer.wd3.myworkdayjobs.com/Careers,true
Unilever,https://unilever.wd3.myworkdayjobs.com/Unilever_Experienced_Professionals,true
